"","YEAR","bhatt"
"1",1990,0.159234207880129
"2",1991,0.183055587258623
"3",1992,0.152598729915218
"4",1993,0.141443956514854
"5",1994,0.0490110904651296
"6",1995,0.0902566982340224
"7",1996,0.126469790906725
"8",1997,0.211779471967244
"9",1998,0.192457172778748
"10",1999,0.107835609771216
"11",2000,0.110751665764279
"12",2001,0.0690737330382941
"13",2002,0.0875946400498611
"14",2003,0.0722647216206243
"15",2004,0.092923723591206
"16",2005,0.188141720748094
"17",2006,0.191161152807724
"18",2007,0.317385770009874
"19",2008,NA
"20",2009,0.229151643851613
"21",2010,0.185753308799605
"22",2011,0.205014694832352
"23",2012,NA
"24",2013,0.34836628971252
"25",2014,NA
"26",2015,0.120690450523816
"27",2016,NA
"28",2017,0.0463021135184392
"29",2018,0.0693033612223862
"30",2019,0.104904243746564
"31",2021,0.131876913179185
"32",2022,0.0585111852898129
"33",2023,0.195043476776381
"34",2024,0.163633083898176
"35",2025,0.268777986756482
"36",2020,NA
