"","YEAR","mean_lat","mean_lon","sum_CPUE","chk_lat","chk_lon","mean_weighted_lat","mean_weighted_lon","shrt"
"1",1988,58.2841695405405,-168.785903756757,2134702.10666277,57.1248588877976,-167.561084609443,57.1248588877976,-167.561084609443,"'88"
"2",1989,58.286834463807,-168.786808217158,2496083.44522685,56.7386568513237,-166.687181547082,56.7386568513237,-166.687181547082,"'89"
"3",1990,58.2639402567568,-168.749652459459,2260531.64979923,56.8401761012231,-167.477860409237,56.8401761012231,-167.477860409237,"'90"
"4",1991,58.2774584636119,-168.756688396226,2174079.66285631,56.6778935112531,-167.280131522809,56.6778935112531,-167.280131522809,"'91"
"5",1992,58.2073368591549,-168.79645228169,1368182.12937596,56.8845828946744,-168.131797335766,56.8845828946744,-168.131797335766,"'92"
"6",1993,58.2746806550802,-168.767192459893,717834.773394416,56.7448964069813,-167.565031502843,56.7448964069813,-167.565031502843,"'93"
"7",1994,58.2641603475936,-168.760030748663,570988.312447281,56.8137853472639,-168.123784870955,56.8137853472639,-168.123784870955,"'94"
"8",1995,58.27071572,-168.77027968,494948.55707767,56.8313951660313,-168.174170609756,56.8313951660313,-168.174170609756,"'95"
"9",1996,58.2658628609626,-168.757841911765,459124.193251772,56.7155683649167,-166.855540462966,56.7155683649167,-166.855540462966,"'96"
"10",1997,58.27091548,-168.7720358,404242.07642648,56.5144663141742,-167.152269637987,56.5144663141742,-167.152269637987,"'97"
"11",1998,58.2731697860963,-168.766534438503,441752.608888187,56.8188336134284,-168.676854940218,56.8188336134284,-168.676854940218,"'98"
"12",1999,58.267331922043,-168.813346505376,732429.767141204,56.5008090801482,-168.004109338201,56.5008090801482,-168.004109338201,"'99"
"13",2000,58.2749338544474,-168.811482142857,590515.480922875,56.7339230773834,-168.254997988014,56.7339230773834,-168.254997988014,"'00"
"14",2001,58.2653518181818,-168.773425548128,1544452.43706595,56.36133073624,-167.587060507899,56.36133073624,-167.587060507899,"'01"
"15",2002,58.2766327540107,-168.777437887701,1079029.92847221,56.6231349292848,-168.275551545533,56.6231349292848,-168.275551545533,"'02"
"16",2003,58.2716271066667,-168.7709944,1328896.52467735,56.8463047264605,-169.171636777606,56.8463047264605,-169.171636777606,"'03"
"17",2004,58.2728029946524,-168.761485695187,1479234.88907529,57.4794689149064,-170.251580239657,57.4794689149064,-170.251580239657,"'04"
"18",2005,58.2731328897849,-168.743931599462,1914738.71495975,57.3631273917634,-169.489601408532,57.3631273917634,-169.489601408532,"'05"
"19",2006,58.2703007733333,-168.769517933333,2094801.97891689,57.1392788843762,-168.886000455753,57.1392788843762,-168.886000455753,"'06"
"20",2007,58.2712251466667,-168.771740813333,1730638.35954852,57.3661806639492,-168.931532669966,57.3661806639492,-168.931532669966,"'07"
"21",2008,58.2691454946524,-168.785795494652,1072014.46285997,56.8704211889365,-168.452579501716,56.8704211889365,-168.452579501716,"'08"
"22",2009,58.2719318133333,-168.772940826667,928324.73583776,56.7488263720462,-168.68570989309,56.7488263720462,-168.68570989309,"'09"
"23",2010,58.2704398533333,-168.76968412,1027246.75272477,56.9734234344722,-168.677593469821,56.9734234344722,-168.677593469821,"'10"
"24",2011,58.2717345733333,-168.769605373333,1863603.96499215,57.0466181388141,-167.881106475321,57.0466181388141,-167.881106475321,"'11"
"25",2012,58.2708513466667,-168.769847466667,2060951.69433575,57.1547242001669,-167.391888707486,57.1547242001669,-167.391888707486,"'12"
"26",2013,58.2709860666667,-168.769282146667,1902768.54415891,56.92031029825,-167.394191515205,56.92031029825,-167.394191515205,"'13"
"27",2014,58.2704812,-168.76804904,1506801.85658967,57.1573174418154,-167.84446478893,57.1573174418154,-167.84446478893,"'14"
"28",2015,58.2704799333333,-168.769104346667,917472.820317766,56.883558553059,-167.926043512442,56.883558553059,-167.926043512442,"'15"
"29",2016,58.26996312,-168.768732346667,825039.697870379,57.0538676265285,-169.231602421617,57.0538676265285,-169.231602421617,"'16"
"30",2017,58.2708536133333,-168.7703576,923255.793657984,57.0236343227013,-169.328291489777,57.0236343227013,-169.328291489777,"'17"
"31",2018,58.2707942266667,-168.77102208,1383174.21033331,57.2147188280078,-169.471238018404,57.2147188280078,-169.471238018404,"'18"
"32",2019,58.2714983466667,-168.767419613333,1148004.17047326,57.0716696082359,-169.86921178496,57.0716696082359,-169.86921178496,"'19"
"33",2021,58.2691534533333,-168.769444373333,1063737.28131982,56.9270024319504,-168.610215717508,56.9270024319504,-168.610215717508,"'21"
"34",2022,58.2708024266667,-168.769799066667,1017451.86277179,56.8593889846249,-168.418701347684,56.8593889846249,-168.418701347684,"'22"
"35",2023,58.2716784666667,-168.77248912,2207766.40315805,57.1923459962807,-169.774108713865,57.1923459962807,-169.774108713865,"'23"
"36",2024,58.2665983524355,-168.599877106017,3020321.37564789,57.4067971092527,-170.037134899972,57.4067971092527,-170.037134899972,"'24"
"37",2025,58.2672136246418,-168.601840243553,2858288.21765226,57.1775263768818,-169.749741005966,57.1775263768818,-169.749741005966,"'25"
